Gray, Robert (1762-1834);Gray, Robert (1762-1834)
Greene, Robert (1558-1592);Greene, Robert (1558-1592)
Greene, Robert (1678-1730);Greene, Robert (1678-1730)
Hale, John (1762-1806);Hale, John (1762-1796);Hale, John (1762-1806)
Hales, Edward (1576-1654);Hales, Edward (1576-1654)
Hales, Edward (1670-1690);Hales, Edward (1670-1690)
Hamilton, Charles (1738-1800);Hamilton, Charles (1738-1800)
Hamilton, Charles (1753-1792);Hamilton, Charles (1753-1792)
Harrington, James (1611-1677);Harrington, James (1611-1677)
Harrington, James (1664-1693);Harrington, James (1664-1693)
Harris, John (1647-NA);Harris, John (active 1647-1647);Harris, John (1647-NA)
Harris, John (1667-1719);Harris, John (1667-1719)
Harris, John (1670-NA);Harris, John (???1670-NA);Harris, John (1670-NA)
Harris, John (1680-1738);Harris, John (1680-1738)
Harris, John (1690-NA);Harris, John (???1690-NA);Harris, John (1690-NA)
Harris, John (NA-NA);Harris, John (???NA-NA);Harris, John (NA-NA)
Harrison, John (1610-1638);Harrison, John (active 1610-1638);Harrison, John (1610-1638)
Harrison, John (1610-1698);Harrison, John (NA-1698);Harrison, John (1610-1698)
Harrison, John (1610-NA);Harrison, John (1610-NA)
Harris, Walter (1600-1799);Harris, Walter (active during 1600-1799);Harris, Walter (1600-1799)
Harris, Walter (1686-1761);Harris, Walter (1686-1761)
Hartley, David (1705-1757);Hartley, David (1705-1757)
Hartley, David (1731-1813);Hartley, David (1731-1813)
Holland, John (1603-1722);Holland, John (1603-1701);Holland, John (1603-1722)
Hollingworth, Richard (1607-1656);Hollingworth, Richard (1607-1656)
Hollingworth, Richard (1639-1701);Hollingsworth, Richard (1639-1701);Hollingworth, Richard (1639-1701)
Horton, Thomas (NA-1649);Horton, Thomas (???NA-1649);Horton, Thomas (NA-1649)
Horton, Thomas (NA-1673);Horton, Thomas (???NA-1673);Horton, Thomas (NA-1673)
Hume, David (1560-1630);Hume, David (1560-1630)
Hume, David (1711-1776);Hume, David (1711-1776)
Humphreys, David (1689-1740);Humphreys, David (1689-1740)
Humphreys, David (1752-1818);Humphreys, David (1752-1818)
Hunter, William (1700-1899);Hunter, William (active during 1700-1899);Hunter, William (1700-1899)
Hunter, William (1755-1812);Hunter, William (1755-1812)
Hutchinson, William (1676-1679);Hutchinson, William (active 1676-1679);Hutchinson, William (1676-1679)
Hutchinson, William (1732-1814);Hutchinson, William (1732-1814)
Jackson, John (1651-1657);Jackson, John (active 1651-1657);Jackson, John (1651-1657)
Jackson, John (1686-1763);Jackson, John (1686-1763)
Jackson, John (1742-NA);Jackson, John (???1742-NA);Jackson, John (1742-NA)
Jackson, John (1795-1810);Jackson, John (active 1795-1810);Jackson, John (1795-1810)
Jackson, William (1730-1803);Jackson, William (1730-1803)
Jackson, William (1737-1795);Jackson, William (1737-1795)
Jenkins, Joseph (1702-1736);Jenkins, Joseph (active 1702-1736);Jenkins, Joseph (1702-1736)
Jenkins, Joseph (1743-1819);Jenkins, Joseph (1743-1819)
Johnson, R (1734-1793);Johnson, R (1772-1793);Johnson, Richard (1734-1793);Johnson, R (1734-1793)
Johnson, Richard (1573-1659);Johnson, Richard (1573-1659)
Johnson, Richard (1600-1699);Johnson, Richard (active during 1600-1699);Johnson, Richard (1600-1699)
Johnson, Robert (1586-1626);Johnson, Robert (active 1586-1626);Johnson, Robert (1586-1626)
Johnson, Robert (1600-1699);Johnson, Robert (active during 1600-1699);Johnson, Robert (1600-1699)
Johnson, Samuel (1649-1703);Johnson, Samuel (1649-1703)
Johnson, Samuel (1696-1772);Johnson, Samuel (1696-1772)
Johnson, Samuel (1709-1784);Johnson, Samuel (1709-1784)
Johnson, William (1600-1699);Johnson, William (active during 1600-1699);Johnson, William (1600-1699)
Johnson, William (1715-1774);Johnson, William (1715-1774)
Johnson, William (1760-1845);Johnson, William (1760-1845)
Johnston, James (1643-1737);Johnston, James (1643-1737)
Johnston, James (1655-1737);Johnston, James (1655-1737)
Jones, David (1676-1720);Jones, David (active 1676-1720);Jones, David (1676-1720)
Jones, David (1736-1820);Jones, David (1736-1820)
Jones, Edward (1752-1824);Jones, Edward (1752-1824)
Jones, Edward (1771-1831);Jones, Edward (active 1771-1831);Jones, Edward (1771-1831)
Jones, John (1645-1709);Jones, John (1645-1709)
Jones, John (1700-1770);Jones, John (1700-1770)
Jones, John (1786-1827);Jones, John (active during 1786-1827);Jones, John (1786-1827)
Jones, William (1631-1682);Jones, William (1631-1682)
Jones, William (1726-1800);Jones, William (1726-1800)
Jones, William (1746-1794);Jones, William (1746-1794)
Jones, William (NA-NA);Jones, William (???NA-NA);Jones, William (NA-NA)
Ker, John (1673-1726);Ker, John (1673-1726)
Ker, John (1673-1741);Ker, John (NA-1741);Ker, John (1673-1741)
King, William (1650-1729);King, William (1650-1729)
King, William (1663-1712);King, William (1663-1712)
King, William (1685-1763);King, William (1685-1763)
Knox, John (1514-1572);Knox, John (1505-1572);Knox, John (1514-1572)
Knox, John (1720-1790);Knox, John (1720-1790)
Knox, John (NA-1778);Knox, John (active 1778-1778);Knox, John (NA-1778)
