Angus;männlich
Anian;männlich
Anianus;männlich
Anieli;männlich
Anker;männlich
Annan;männlich
Annas;männlich
Anne-Marie;unspezifisch
Ansel;männlich
Ansell;männlich
Anselm;männlich
Anselmo;männlich
Ansgar;männlich
Ansley;unspezifisch
Anson;männlich
Anssi;männlich
Anstice;unspezifisch
Ante;männlich
Antek;männlich
Antero;männlich
Anthony;männlich
Antin;männlich
Antinko;männlich
Antiochus;männlich
Anto;männlich
Antoine;männlich
Anton;männlich
Antone;männlich
Antonello;männlich
Antoni;männlich
Antonin;männlich
Antonino;männlich
Antonio;männlich
Antonios;männlich
Antonius;männlich
Antons;männlich
Antony;männlich
Antonákis;männlich
Antosha;männlich
Antti;männlich
Antwan;männlich
Antónios;männlich
Antónis;männlich
Anwar;männlich
Anwell;männlich
Anwyl;männlich
Any;männlich
Anyon;männlich
Anárgiros;männlich
Anéstis;männlich
Apoll;männlich
Apostolos;männlich
Apostólis;männlich
Apóllon;männlich
Apóstolos;männlich
Aquilao;männlich
Ara;unspezifisch
Aragon;männlich
Araldo;männlich
Aram;männlich
Aramil;männlich
Aras;männlich
Arash;männlich
Arben;männlich
Arbogast;männlich
Arcangelo;männlich
Arch;männlich
Archaimbaud;männlich
Archambault;männlich
Archelaos;männlich
Archer;männlich
Archibald;männlich
Archibaldo;männlich
Archibold;männlich
Archie;männlich
Archondís;männlich
Archy;männlich
Arda;unspezifisch
Ardian;männlich
Ardon;männlich
Ardor;männlich
Arduin;männlich
Arduino;männlich
Are;männlich
Arel;männlich
Areli;männlich
Aren;männlich
Arend;männlich
Arendt;männlich
Ares;männlich
Argelion;männlich
Argus;männlich
Argírios;männlich
Argíris;männlich
Arhippa;männlich
Arho;männlich
Ari;männlich
Arian;männlich
Aribert;männlich
Aricin;männlich
Aridai;männlich
Arie;männlich
Arieh;männlich
Ariel;unspezifisch
Ariele;männlich
Arif;männlich
Arik;männlich
Arin;männlich
Ario;männlich
Arion;männlich
Aristarch;männlich
Aristid;männlich
Aristo;männlich
Aristofánis;männlich
Aristogénis;männlich
Aristoménis;männlich
Aristophanes;männlich
Aristoteles;männlich
Aristotle;männlich
Aristotélis;männlich
Aristídis;männlich
Aristódimos;männlich
Arjen;männlich
Arjun;männlich
Arkadius;männlich
Arkin;männlich
Arlan;männlich
Arlen;unspezifisch
Arley;männlich
Arlin;männlich
Arman;männlich
Armand;männlich
Armando;männlich
Armas;männlich
Armin;männlich
Armon;männlich
Armstrong;männlich
Armándos;männlich
Arn;männlich
Arnaldo;männlich
Arnault;männlich
Arnd;männlich
Arndt;männlich
Arne;männlich
Arney;männlich
Arnfried;männlich
Arni;männlich
Arnie;männlich
Arnim;männlich
Arno;männlich
Arnold;männlich
Arnoldo;männlich
Arnolt;männlich
Arnon;männlich
Arnoud;männlich
Arnuad;männlich
Arnulf;männlich
Arny;männlich
Aroldo;männlich
Aron;männlich
Arpad;männlich
Arpiar;männlich
Arri;männlich
